recall_id,clause_id,clause_text
1,13,The story continues
1,14,with her family making preparations
1,15,for her daughter's funeral...
3,1,My daughter died twenty-eight years ago.
3,2,It was the thirteenth of the month.
3,3,She was operated on for appendicitis.
3,4,"The next morning, her older sister went to see her in the hospital."
3,5,She was still under ether.
3,6,They used a lot of ether for the operation.
3,7,There was a chair in the room.
3,8,They just started getting people out of bed.
3,9,She asked the nurses.
3,10,"It was the doctor's order, they replied."
3,11,They got her out of bed.
3,12,She suffered a blood clot.
3,13,She was put back to bed again.
3,14,They called us from the hospital.
3,15,They called on a phone in a nearby store.
3,16,We were informed about her discharge.
3,17,Rita was cooking.
3,18,She will finish the cooking.
3,19,Her dad is preparing upstairs.
3,20,He said to prepare coffee for her.
3,21,He said to get a cake.
3,22,I went to the hospital with her clothes.
3,23,She saw me coming into the hospital through her window.
3,24,She was walking.
3,25,She fainted again.
3,26,The nurses were running.
3,27,I asked if they were running for my daughter.
3,28,I saw her on the bed.
3,29,She was in her dress.
3,30,She had her slippers on.
4,1,A girl called Marie died 28 years ago at aged 22 on the 30th of April.
4,2,It was a late Saturday afternoon.
4,3,"Her mother Mrs Costa had gone to collect her from hospital,"
4,4,but had found her soaking in beads of sweat
4,5,and unwell
4,6,and she passed away.
4,7,The doctor had given her too much ether
4,8,and she had pain in her leg
4,9,and could not see
4,10,and this was the blood clot.
4,11,Mrs Costa had been offered a jab to calm her
4,12,upon declaring the hospital had killed her daughter
4,13,and exclaimed the shot would be them trying to kill her also.
4,14,The shocking news spread through the family
4,15,to Mr Costa and her sister first
4,16,then extended family.
5,1,It has been 28 years now since Marie died.
5,2,She had gone to the hospital for surgery for the appendix.
5,3,Her sister went to visit her
5,4,and found a chair in the room
5,5,and asked the nurse what the chair was for
5,6,"and told her that they had to get Marie out of bed,"
5,7,she told her that they can't do that cause Marie is too sick.
5,8,But the nurse told her that it was the Doctor's orders.
5,9,She pulled Marie out of bed
5,10,but she collapsed.
5,11,The mother did not have a phone
5,12,so the hospital called the lady at the store
5,13,to tell Mrs. Costa that she needs to pick up Marie because she is discharged.
5,14,That morning she asked her daughter to put on some coffee for Marie
5,15,because she likes coffee in the morning.
5,16,She laid out Marie's clothes
5,17,and put her coat on her arm
5,18,and headed to the hospital.
5,19,Marie was up and busy saying goodbye to the girls at the hospital
5,20,when her mother got there.
5,21,Then the nurse came
5,22,"and asked Mrs. Costa if her daughter had had fainting spells before,"
5,23,"she asked if she was going to her daughter,"
5,24,when she saw her daughter
5,25,she realized that she was sweating.
5,26,It was a lot of sweat.
5,27,She was still in her house slippers.
5,28,Marie died
5,29,and Mrs. Costa started screaming at the nurse that they had killed her daughter.
5,30,"The female Dr., Dr. Schwartz, had assisted the doctor who did the surgery."
5,31,She came into the room
5,32,and Mrs. Costa shouted at her too.
5,33,The hospital kept calling
5,34,asking for the mother to come pick up Marie.
5,35,Marie's sister figured something was wrong
5,36,and also headed to the hospital.
5,37,She found her mother in the office undone
5,38,and that's when she found out about Marie's.
5,39,She fell and broke her leg.
5,40,They eventually figured that a blot clot was what had killed Marie.
5,41,Back at the house the neighbors were out of their houses
5,42,due to Mrs. Costa's screams from inside the car.
5,43,The husband had been waiting by the step for his daughter's return.
5,44,When he heard the news
5,45,he instantly had a heart attack.
5,46,Their son Michael also had a heart attack the same day after finding out.
5,47,The youngest son was then sent to inform his aunties about the death of his sister Marie.
6,1,A story of a girl named Marie
6,2,"Mrs. Costa, Marie's mom, went to pick up Marie from the hospital"
6,3,because she was being discharged
6,4,When Mrs. Costa reached the hospital
6,5,a nurse approached her
6,6,and asked her to sit down
6,7,While she was sitting
6,8,Mrs. Costa was praying for a lady that she knew
6,9,was having an operation
6,10,The nurse gave Mrs. Costa a blanket
6,11,because she was getting chills
6,12,Mrs. Costa was asked by a nurse if her daughter ever fainted
6,13,and the nurse asked her to come inside the room
6,14,Mrs. Costa saw her daughter in the bed with slippers and coats on
6,15,As soon as she sees her daughter
6,16,she starts to scream
6,17,what you did do to my daughter
6,18,you killed her
6,19,don't touch my daughter
6,20,or see I will set this hospital on fire
6,21,Mrs. Costa went home
6,22,and let everyone know what happened
6,23,Everyone’s family member was in shock
6,24,including the neighbours
7,1,The story was honestly somewhat jumbled in its retelling.
7,2,"However, the core of the story was that the woman's daughter, Marie, died."
7,3,She was in the hospital receiving treatment.
7,4,She died.
7,5,The woman telling the story was livid at the experience.
7,6,"She blamed not the doctor, but the doctor's female assistant."
7,7,She thinks that the doctor's female assistant killed her daughter.
7,8,She was completely shocked and angry about it.
8,1,"My daughter died,"
8,2,"it was either March or April 28 years ago,"
8,3,"the daughter was called Marie,"
8,4,she went into hospital for something
8,5,and was due to be discharged.
8,6,"The hospital rang the mother,"
8,7,Mrs. Costa to go and collect her.
8,8,She told her other daughter to wait for the Dad coming back from work
8,9,and put some coffee on.
8,10,Marie liked a pot of coffee every morning
8,11,that's what Mrs. Costa remembered.
8,12,At the hospital someone was taking blankets
8,13,and she realized they were for her daughter
8,14,she was told to talk to her
8,15,and said she was dying
8,16,what was she supposed to say
8,17,and when she died
8,18,she was screaming and kicking
8,19,and pulled out her hair
8,20,and asked what was wrong
8,21,her daughter has just been saying goodbye to Arlene.
8,22,"Also, she had taken her dress and her corsets."
8,23,She asked what had happened
8,24,and they said a blood clot.
8,25,She was screaming so
8,26,they said they'd give her a shot
8,27,and she said they'd killed her daughter
8,28,and they weren't killing her as well.
8,29,She went home
8,30,and the son James was there
8,31,he was only little
8,32,and when she told the Dad
8,33,he had a heart attack and died
8,34,and then someone else had a heart attack and died
8,35,and two Aunties came.
9,1,"Marie was in hospital 28 years ago for appendicitis,"
9,2,the nurse tried to get her out of bed too soon
9,3,"and she collapsed with a blood clot in her leg,"
9,4,"her sister Victoria was there,"
9,5,"the nurse rang Mrs. Costa,"
9,6,"Marie's mother,"
9,7,once she reached the hospital
9,8,"she was told her daughter had died,"
9,9,"she was hysterical,"
9,10,pulling her hair
9,11,"screaming at the doctors to leave her daughter alone,"
9,12,saying she would kill them
9,13,and burn down the hospital.
9,14,Going home
9,15,"she told her husband,"
9,16,who had a heart attack
9,17,and her son Michael had a heart attack as well.
9,18,She told her son Jamie
9,19,"to tell her two sisters,"
9,20,"Marie's aunties,"
9,21,that she had died.
10,1,"Mrs. Costa (mom) recalled her experience of losing her daughter, Marie."
10,2,Marie had surgery for appendicitis
10,3,which eventually led to a blood clot
10,4,and then her death.
10,5,Mrs. Costa was remembering the experience
10,6,"which occurred 28 years earlier,"
10,7,in the month of April.
10,8,She was called to come and pick up her daughter from the hospital
10,9,"after she was being discharged,"
10,10,"but when she got there,"
10,11,she was told by the nurses to sit and wait.
10,12,"Eventually, they told the mom that Marie had broken out into cold sweats"
10,13,and was waiting to be seen by the doctor.
10,14,Marie eventually died in the hospital.
10,15,"Mrs. Costa went hysterical,"
10,16,"as any mother would,"
10,17,trying to figure out what had happened
10,18,while emotions were incredibly high.
10,19,"Eventually, Mrs. Costa had to break the news to her family"
10,20,once she was able to get home.
10,21,The news of Marie's death caused Mr. Costa and Marie's brother
10,22,to both have heart attacks.
11,1,"It is 28 years since the death of Mrs. Costa's daughter, Marie,"
11,2,who died on the 30th of April
11,3,- 10 days after an operation for appendicitis.
11,4,Mrs. Costa's other daughter Veronica had gone to the Methodist Hospital to see how Marie was.
11,5,They were getting her out of bed.
11,6,"The surgeon was Dr. Schwarz,"
11,7,"and his assistant was a female doctor, Dr. Montique."
11,8,"It was time for Marie to come home,"
11,9,"and so Mrs. Costa had gone to the hospital,"
11,10,carrying her coat
11,11,and after her husband had made a coffee.
11,12,"While there,"
11,13,"waiting for Marie,"
11,14,"she said a prayer for a woman she knew,"
11,15,praying that she would survive
11,16,and that her daughter wouldn't be left without a mother.
11,17,"At that time,"
11,18,there was a commotion
11,19,as something had happened to Marie.
11,20,Mrs. Costa went into her room
11,21,"to see her daughter lying there,"
11,22,covered in beads of sweat.
11,23,"""You've killed her,"" Mrs. Costa yelled."
11,24,"""Don't you touch her,"
11,25,or I'll burn this whole hospital down and everyone in it.
11,26,"I know you want to find out why she died, but don't touch her."""
11,27,"It turned out that Mrs. Costa's other daughter Rita had been with her,"
11,28,and Marie had complained that she had a pain in her leg
11,29,and couldn't see
11,30,before collapsing.
11,31,It turned out
11,32,she had died from a blood clot.
11,33,When Rita learned that Marie had died
11,34,"she collapsed to the floor,"
11,35,badly injuring her leg
11,36,which became rigid.
11,37,28 years later
11,38,"and she still suffers extended periods of serious pain in that leg,"
11,39,like phlebitis.
11,40,Mrs. Costa went home
11,41,and informed her husband.
11,42,"He had shaved,"
11,43,and had been sitting on the porch
11,44,immediately suffered a heart attack.
11,45,"When her son Michael found out,"
11,46,he also had a heart attack.
11,47,It was her other son Jamie
11,48,who went to Mrs. Costa's two sisters
11,49,"and her mother,"
11,50,"still alive at the time,"
11,51,arriving with red eyes
11,52,to report that Marie had died.
13,1,The story was about a girl named Marie
13,2,who was 18 years old
13,3,when she passed away.
13,4,Her mother Mrs. Costa was recalling the story of her passing away
13,5,28 years after her death
13,6,on 30th April.
13,7,"The mother seemed to be confused with the dates,"
13,8,so it could either be the 20th of April or the 30th.
13,9,Marie was admitted to the Methodist Hospital
13,10,for some complications.
13,11,Her sister Rita came over to check up on her
13,12,and saw that the hospital was getting ready
13,13,to put her into a chair
13,14,however she passed away
13,15,when they tried to shift her
13,16,so they had to put her back to bed.
13,17,After which they sent everyone back home
13,18,and the doctors checked up on her.
13,19,Then Mrs Costa was at home
13,20,waiting for a call from the hospital
13,21,"and since she didn't have a phone,"
13,22,she was waiting for a shopkeeper around her home
13,23,to tell her
13,24,whenever she got a call from the hospital.
13,25,Then one day she got a call
13,26,from the hospital
13,27,that she had been discharged
13,28,and she could come pick her up
13,29,and extra fees were needed
13,30,"for her boarding charges,"
13,31,which were 10$.
13,32,The mother reached the hospital
13,33,and was praying for another patient
13,34,while waiting in the hospital.
13,35,Then a nurse comes
13,36,and asks her
13,37,if her daughter was prone to fainting spells
13,38,and lead her to a room
13,39,where her daughter was sweating a lot
13,40,and was unconscious.
13,41,The mother broke out in a hysterical fit
13,42,and started crying
13,43,that the hospital killed her
13,44,and she had an unchecked blood clot.
13,45,The doctor came rushing in
13,46,and they had to restrain the mother
13,47,because she tried to harm herself
13,48,and was not able to calm down.
13,49,Her daughter comes in a car
13,50,with her husband
13,51,and the mother delivers her the news
13,52,and she collapses in the hospital.
13,53,The mother then narrated her story
13,54,of how things went down
13,55,after her death was announced
13,56,how her husband and son both got heart attacks
13,57,after listening to the news
13,58,and how everyone else was shocked.
14,1,"Her daughter died in the hospital,"
14,2,"she died at a Methodist hospital,"
14,3,she had an operation for appendicitis on a Saturday.
14,4,"On Sunday his oldest daughter Victoria went to the hospital to check up on her,"
14,5,she was still under ether.
14,6,"She saw a chair and asked the nurse what the chair was for,"
14,7,"the nurse explained that they had to get her out of bed,"
14,8,"the older daughter was furious because her sister was still under ether,"
14,9,"but the nurse reiterated that it was the doctor's orders,"
14,10,"they went to get her out of bed,"
14,11,but she was passed out.
14,12,"She believed the blood clot she had was their fault for taking her out of bed,"
14,13,"later the hospital called for her to go pick up Marie,"
14,14,that she had been discharged.
14,15,He told Rita she was going to pick Marie from the hospital.
14,16,"When she got there the nurse told her to sit down,"
14,17,she started praying for another patient that had an operation because she was a mother of ten.
14,18,"The nurse asked her if her daughter had ever gotten a fainting spell,"
14,19,"when she stepped in she yelled,"
14,20,"you killed my daughter a couple times,"
14,21,"the doctor who was a lady rushed in and said we don't know what happened,"
14,22,her daughter passed away in front of her eyes.
14,23,"Rita was bothered, so she came over with her son-in-law,"
14,24,"but due to her acting hysterical she was held down,"
14,25,"she then broke the news of Marie's passing to Rita,"
14,26,she was taken home.
14,27,Mike had a heart attack once the news was broken to him.
14,28,Her younger sister had brought an orange for Marie earlier.
14,29,James was sent to break the news to Aunt Jennie.
15,1,"A woman recounts the passing of her daughter, Marie."
15,2,She talks about how it happened 28 years ago.
15,3,It happened on April the 20th.
15,4,Marie was in hospital.
15,5,She was having an operation to treat appendicitis.
15,6,A nurse tried to move her out of a bed into a chair.
15,7,"However, she was heavily sedated on Ether."
15,8,She passed out whilst they were attempting to move her.
15,9,They were forced to put her back into bed.
15,10,The narrator believes this may have been the cause of the blood clot.
15,11,The blood clot resulted in her death.
15,12,The narrator recounts the day in which she was supposed to pick up Marie from the hospital.
15,13,She gathered several of her clothes.
15,14,She gathered a coat.
15,15,She speaks about how they lacked a telephone.
15,16,The local store had agreed to call ahead.
15,17,The store was to let the rest of the family know when Marie had been discharged.
15,18,She arrived at the hospital.
15,19,She sat in a chair.
15,20,She prayed for an elderly woman.
15,21,The elderly woman was also undergoing an operation.
15,22,She noticed several nurses grabbing cold towels.
15,23,She inquired as to where her daughter was.
15,24,She was then asked whether her daughter had a history of fainting.
15,25,Worry began to set in.
15,26,"""What have you done to my daughter?"", she asked."
15,27,She was told to come with the nurse.
15,28,The mother states that the beads of sweat appearing on her daughter's face were very large.
15,29,Seeing this made the narrator lose herself with anguish.
15,30,She shouted at the nurses.
15,31,She shouted at the doctors.
15,32,She said that they had 'killed her daughter'.
15,33,"Shortly after, as she turned her back, Marie died."
15,34,The narrator had torn her own hair out.
15,35,She was still shouting.
15,36,She was moved to a waiting area.
15,37,She had refused 'a shot' from a doctor.
15,38,She believed they were going to kill her too.
15,39,"A short time later, another daughter arrived at the hospital."
15,40,The other daughter wanted to see what had held them up.
15,41,The other daughter believed that they should have been home by now.
15,42,When the narrator told her that Marie had died.
15,43,She collapsed to the floor 'like lightning'.
15,44,"Later, the mother describes how she returned home."
15,45,She was screaming from the grief.
15,46,This caused many people to investigate what happened.
15,47,She states that when she told her husband and her son.
15,48,They both had heart attacks.
15,49,"Later, she recounts visiting a store."
15,50,The employee would always remind her of how Marie would use to stand on the step outside.
15,51,Marie was a quiet girl.
15,52,Marie was always kind and good.
16,1,There was a lady
16,2,who had a daughter
16,3,who died of a blood clot.
16,4,She recalled the story
16,5,"in some detail,"
16,6,detailing the day she died.
16,7,Her daughter had an operation
16,8,which appeared to be successful.
16,9,The mother was called to collect her
16,10,and whilst on route
16,11,the daughter had a pain in her leg
16,12,and some blindness
16,13,then collapsed.
16,14,"When the mother arrived,"
16,15,the daughter had beads of sweat on her
16,16,and she had died on a hospital bed.
16,17,The father was called
16,18,"and tragically,"
16,19,he too had a heart attack
16,20,but did not die.
16,21,The sibling also fell ill
16,22,"and continues to be ill, every few years."
16,23,The girl who died was well liked amongst family and friends
16,24,but sadly died.
18,1,A woman's daughter passed away twenty-eight years ago.
18,2,Her daughter's name was Marie.
18,3,She (Marie) was in the hospital for appendicitis.
18,4,The doctors made her (Marie) get up.
18,5,She (Marie) eventually just died.
18,6,The mother went alone to go pick up Marie from the hospital.
18,7,Marie was supposed to be discharged the day she died.
18,8,The mother brought clothes and Marie's girdle.
18,9,She (the mother) had a coat on her arm.
18,10,She (the mother) had everything.
18,11,"Before leaving her house to get her daughter, she (the mother) told her other daughter, Rita, to keep cooking."
18,12,She (the mother) told (Rita) that her father would be home soon.
18,13,He (the father) was outside in the yard.
18,14,The mother goes to the hospital.
18,15,The nurses tell her (the mother) to have a seat.
18,16,"They (the nurses) say, ""Mrs. Costa, Marie has died""."
18,17,The mother then becomes completely hysterical.
18,18,She (the mother) starts ripping her hair out.
18,19,She (the mother) keeps claiming that the hospital staff killed her daughter.
18,20,They (hospital staff) are all trying to console her.
18,21,She (the mother) threatens to kill them.
18,22,She (the mother) threatens to burn the hospital down.
18,23,She (the mother) did not care who was in it.
18,24,"On the way home, she (the mother) is obnoxiously crying and screaming."
18,25,Everyone comes out.
18,26,Her husband is in shock of Marie's death.
18,27,He (the father) has a heart attack.
18,28,Her son has a heart attack.
18,29,They both have heart attacks.
18,30,Mrs. Costa's sisters are there as well.
18,31,They wanted to see Marie when she came home.
18,32,The younger sister of Mrs. Costa had brought a big orange for Marie.
18,33,"The shopkeeper, Annie, recalls seeing Marie on the steps."
18,34,She (Annie) claims she (Marie) was a quiet girl.
19,1,"The story was about the death of a woman's daughter, Marie."
19,2,The woman was Mrs. Costa.
19,3,"She had a daughter named Marie, son called James, and daughters called Rita and Victoria."
19,4,She had two sisters called Millie and Jenny.
19,5,The daughter that died had been in the hospital for appendicitis.
19,6,She was ready to come home.
19,7,She had passed out when saying goodbye to people.
19,8,There was a blood clot when she got out of bed.
19,9,The mum had asked everyone at home to get ready for her coming home (before they knew she had died).
19,10,Her husband was going to be waiting for them.
19,11,Cake and coffee would be waiting.
19,12,"The operation was in April, April 20th."
19,13,"The mum went to go pick her up, coat over her arm."
19,14,Gets to the hospital.
19,15,The nurse tells her to sit down.
19,16,The nurse asks if her daughter ever fainted before.
19,17,She runs to find daughter.
19,18,But she was dead.
19,19,The mum said the doctors killed her daughter.
19,20,Marie said she had a pain in her leg.
19,21,Marie said she couldn't see before she died.
19,22,It was a blood clot.
19,23,"The mum was very distressed, hysterical, pulling hair out."
19,24,Doctors tried to calm her down with a shot.
19,25,She refused.
19,26,"When Rita found out, she collapsed."
19,27,The dad had a heart attack.
19,28,"Marie's aunt had brought an orange for Marie, a big one."
20,1,A lady's daughter was in the hospital
20,2,"but [she] died of a blood clot,"
20,3,[she] was furious at the doctors
20,4,and [she was furious] at the hospital.
20,5,She recalled the event
20,6,that happened in April years ago.
20,7,Her husband and son had heart attacks
20,8,when they found out
20,9,about the death of their daughter/sister.
21,1,Woman had her daughter die
21,2,from a blood clot.
21,3,She went to the hospital
21,4,for an appendectomy
21,5,for appendicitis.
21,6,The assistant doctor had her stand up
21,7,while under anesthesia
21,8,and it caused a blood clot to form.
22,1,My daughter Marie died.
22,2,She was admitted to the Methodist Hospital 28 years ago this month.
22,3,She passed away after they had tried to stand up.
22,4,She was being released.
22,5,She got a blood clot on her leg.
22,6,I was going to pick her up.
22,7,I found out when I got to the hospital.
22,8,"When I got home, my husband was waiting."
22,9,He had a heart attack when he found out.
22,10,My eldest son had a heart attack as well.
22,11,My other son had to go round.
22,12,He had to tell his aunties.
22,13,Marie had passed away.
23,1,The daughter died on the 28th day 13 months ago.
23,2,Her mother was Mrs. Costa
23,3,and (she) held the hospital and Dr. Schwartz directly responsible for her death.
23,4,She collapsed after experiencing difficulty
23,5,and pain in her leg.
23,6,She was 18 when she died.
23,7,Mrs. Costa enjoyed being greeted by a cup of coffee first thing in the morning.
24,1,It was being told by Mrs Costa.
24,2,28 years ago her daughter Maria went to hospital
24,3,and needed to have her appendix out.
24,4,After 10 days the hospital called a neighbour
24,5,to say she was ready to be collected
24,6,(as Mrs Costa did not have a phone).
24,7,Mrs Costa went to hospital to collect Maria
24,8,with a change of clothes (a dress).
24,9,When she arrived she was asked by a nurse if Maria ever fainted.
24,10,When Mrs Costa saw her daughter
24,11,"she saw she was sweating,"
24,12,they called a female doctor
24,13,but Maria died.
24,14,Mrs Costa was hysterical -
24,15,Maria was wearing her house coat and slipper.
24,16,Mrs Costa was taken home
24,17,where she met Mr Costa
24,18,who was waiting on the front step.
24,19,When she told him what had happened
24,20,he had a heart attack.
24,21,She then sent her youngest son to her sister's
24,22,(his Aunts)
24,23,to tell them the news.
24,24,Maria died of a blood clot.
26,1,Marie died of a blood clot
26,2,when the nurses got her to walk
26,3,and she collapsed.
26,4,"Mrs. Costa, her mother, was called to the hospital"
26,5,to pick Marie up
26,6,because she had been discharged
26,7,but Marie had died.
26,8,Mrs. Costa was hysterical.
26,9,Her daughter picked her up
26,10,and she went home
26,11,"and she told her husband, Mike,"
26,12,who had a heart attack.
26,13,"Their son, Michael, also had a heart attack."
26,14,"Their son, Jamie, who was young at the time"
26,15,went next door
26,16,to tell his Aunt Millie and Aunt Jennie
26,17,that his sister had died.
26,18,This happened 28 years ago on April 30th.
28,1,28 years ago
28,2,My daughter died
28,3,She had appendicitis
28,4,The nurse made her get up to walk
28,5,and she collapsed
28,6,My husband had a heart attack
28,7,My son had a heart attack
28,8,I will burn the hospital down
28,9,That's all
28,10,That's what happened
29,1,"Mr's Costa's daughter died at Methodist hospital,"
29,2,"30 years later,"
29,3,she was in for appendicitis.
29,4,"There was a chair in the hospital room,"
29,5,"she asked them what it was for,"
29,6,"they said it was good for her daughter to get up,"
29,7,"they tried getting her up,"
29,8,"then she fainted,"
29,9,and they think it caused a blood clot.
29,10,"Mrs. Costa was called to collect her daughter from the hospital,"
29,11,"Rita (her other daughter) took over the cooking,"
29,12,and waited for their dad to get home.
29,13,"When Mrs. Costa was at the hospital,"
29,14,"the nurses were called for a painting that was falling,"
29,15,it was her daughter.
29,16,"Mrs. Costa screamed at them that they had killed her daughter,"
29,17,"they wanted to give her a shot,"
29,18,but she screamed that they wanted to kill her too.
29,19,"Rita, her other daughter,"
29,20,"is still affected by her sister's death 30 years on,"
29,21,"and has pains in her legs for weeks at a time,"
29,22,"and people have fond memories of her daughter even after her death,"
29,23,"such as the shop keeper,"
29,24,who remembers her standing in her shop.
30,1,"A woman's daughter died in the hospital,"
30,2,"she got upset about it,"
30,3,her husband and son had heart attacks
30,4,when they found out.
31,1,Marie was in hospital
31,2,having an operation.
31,3,It was the 20th of April.
31,4,Marie was recovering in hospital
31,5,"and was getting ready to be discharged,"
31,6,when she fainted.
31,7,Mrs. Costa got to the hospital
31,8,ready to collect Marie
31,9,when a nurse wanted to speak to her.
31,10,She thought it was about her friend
31,11,who had a gall bladder operation
31,12,"but no,"
31,13,it was about Marie
31,14,who had died.
31,15,Mrs. Costa was hysterical
31,16,and didn't want to be with the doctors or nurses
31,17,who she believed killed her daughter.
31,18,She was going crazy
31,19,banging her head against the wall.
31,20,It turned out she died from a blood clot in her leg.
31,21,Mrs. Costa got taken home
31,22,but she felt trapped in the car
31,23,and just wanted to get out.
31,24,When she got home
31,25,she told her husband
31,26,and he had a heart attack.
31,27,Her uncle was an undertaker.
31,28,She got James her son
31,29,to go and tell his two aunties.
31,30,When he arrived
31,31,his eyes were red
31,32,he then told them
31,33,they were shocked.
32,1,Mrs Costa’s daughter had died.
32,2,28 years ago.
32,3,At the Methodist hospital.
32,4,The eldest daughter Victoria had gone to the hospital.
32,5,Marie was under ether.
32,6,There was a chair there.
32,7,Nurse was going to get Marie to sit on it.
32,8,Victoria was startled.
32,9,As to why they would try and get her on the chair.
32,10,Mrs Costa was at home.
32,11,Her other daughter Rita was cooking.
32,12,They never had a phone.
32,13,So a store owner they knew was able to call the hospital.
32,14,So they could go and get Marie.
32,15,Rita was sent away to get some cake.
32,16,While Mrs Costa would go to the hospital.
32,17,It had been 10 days.
32,18,Before the 28 April.
32,19,And would have cost $10 more for board.
32,20,When Mrs Costa arrived at the hospital.
32,21,She was praying for the recovery of another woman she knew.
32,22,Who had 10 children.
32,23,When they tried to bring out Marie.
32,24,She went into a cold sweat.
32,25,And fell on the hard marble floor.
32,26,The nurse and doctors tried to save her.
32,27,And asked Mrs Costa to talk to her.
32,28,But she died.
32,29,She was only 18 years old.
32,30,Her husband Mike had also now come to the hospital.
32,31,And he suffered a heart attack.
32,32,At the news Marie had died.
32,33,When Mrs Costa had come out of the hospital.
32,34,The brother Michael also collapsed.
32,35,At the shocking news.
32,36,Sister brought an orange for Marie.
33,1,A woman named Mary has a daughter named Marie
33,2,who was a very good and quiet child
33,3,who went into the hospital for appendicitis.
33,4,"During recovery, she was made to get up from the bed"
33,5,and sit in a chair
33,6,where she fainted
33,7,that caused a blood clot
33,8,that led to her death
33,9,28 years ago on the 30th of April
33,10,when she was only 18 years old.
33,11,Mary did not have a phone at home
33,12,so the woman from the store received the call
33,13,when it was time to retrieve Marie from the hospital.
33,14,But she died
33,15,shortly after she arrived
33,16,after saying goodbye to Arlene and other women at the hospital.
33,17,"Mary became very distraught,"
33,18,screaming and pulling at her hair
33,19,and threatening to kick and kill people
33,20,and burn the hospital to the ground with everyone in it.
33,21,They tried to give her a shot
33,22,"and she wondered if they wanted to kill her, too,"
33,23,after killing her daughter.
33,24,Mary had three surgeries over a short period of time
33,25,at the hospital
33,26,so all of the nurses knew her.
33,27,She was taken home by hospital staff
33,28,and screamed the entire way.
33,29,People came out of their houses to see what the matter was.
33,30,Her husband had come home from work
33,31,to wash and shave
33,32,"and wait for her and Marie to arrive from the hospital,"
33,33,then had a heart attack upon hearing the news.
33,34,Her older son (Michael?) also had a heart attack.
33,35,"Her sisters, Jenny and Millie, were to be there to greet Marie."
33,36,One had brought her a big orange.
33,37,"The youngest son, James, was sent to tell them the news,"
33,38,and arrived with reddened eyes.
34,1,Daughter Marie went to hospital
34,2,for an operation
34,3,for appendicitis.
34,4,She had the operation
34,5,on Saturday afternoon.
34,6,Her sister visited her
34,7,and she was still under ether.
34,8,They tried to get her out of bed
34,9,and mother felt
34,10,it was too soon
34,11,but it was the doctors' order.
34,12,She fainted
34,13,so they put her back to bed.
34,14,"Mrs. Costa, the mother, was called"
34,15,to go to the hospital
34,16,to pick up her daughter
34,17,as she was being discharged.
34,18,She felt
34,19,this was too early
34,20,to be discharged.
34,21,Mrs. Costa went to the hospital
34,22,but when she got there
34,23,[she found out] that her daughter died.
34,24,Mrs. Costa went home
34,25,and told her husband
34,26,who then had a heart attack.
